FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
18295,7400 S OGLESBY AVE ,2359,2332,36087,E,74TH,ST,34071,128599,7400 S YATES BLVD ,Streets & Transportation,3657.0,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY AV (2332 E),Curb & Gutter Menu,7,2012
34072,7400 S CRANDON AVE ,2327,2300,40755,E,74TH,ST,18295,128603,7400 S OGLESBY AVE ,Streets & Transportation,3657.0,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY AV (2332 E),Curb & Gutter Menu,7,2012
20885,2433 E 90TH ST ,9059,9000,32429,S,PHILLIPS,AVE,30689,136858,2433 E 91ST ST ,Streets & Transportation,175674.0,ON S PHILLIPS AVE FROM E 90 ST (9000 S) TO E 91 ST (9100 S),Curb & Gutter Menu,7,2012
26999,2233 E 100TH ST ,10057,10000,3481,S,PAXTON,AVE,22695,141446,2233 E 101ST ST ,Streets & Transportation,183815.0,ON S PAXTON AVE FROM E 101 ST (10100 S) TO E 100 ST (10000 S),Curb & Gutter Menu,7,2012
35612,2400 E 95TH ST ,9563,9500,52330,S,OGLESBY,AVE,19233,141741,2399 E 96TH ST ,Streets & Transportation,5452.0,ON S OGLESBY AVE FROM E 95 ST (9500 S) TO E 96 ST (9540 S),Curb & Gutter Menu,7,2012
33047,2329 E 96TH ST ,9691,9600,42857,S,CRANDON,AVE,21186,141156,2321 E 97TH ST ,Streets & Transportation,89581.0,ON S CRANDON AVE FROM E 96 ST (9540 S) TO E 97 ST (9713 S),Curb & Gutter Menu,7,2012
6537,2333 E 73RD ST ,7359,7300,28779,S,OGLESBY,AVE,18295,128582,2333 E 74TH ST ,Streets & Transportation,121057.0,ON S OGLESBY AVE FROM E 74 ST (7400 S) TO E 73 ST (7300 S),Curb & Gutter Menu,7,2012
20662,1935 E 95TH ST ,9557,9500,50393,S,EUCLID,AVE,4755,138787,1933 E 96TH ST ,Streets & Transportation,1768.0,ON S EUCLID AVE FROM E 95 ST (9500 S) TO E 96 ST (9600 S),Sidewalk Menu,7,2012
6471,2233 E 73RD ST ,7359,7300,5196,S,LUELLA,AVE,18296,128584,2233 E 74TH ST ,Streets & Transportation,2739.0,ON S LUELLA AVE FROM E 73 ST (7300 S) TO E 74 ST (7400 S),Sidewalk Menu,7,2012
21487,2637 E 93RD ST ,9359,9300,37985,S,SAGINAW,AVE,34362,137299,2637 E 94TH ST ,Streets & Transportation,7658.0,ON S SAGINAW AVE FROM E 93 ST (9300 S) TO E 94 ST (9400 S),Sidewalk Menu,7,2012
